Variables,Values,Site,Param_means,Param_vars,Param_sd
NN,0.02,BP,0.02,NA,NA
NN,0.04,W,0.04,NA,NA
NN,0.05,BP,0.05,NA,NA
NN,0.06,BP,0.06,0,0
NN,0.07,BP,0.07,NA,NA
NN,0.08,W,0.08,0,0
NN,0.09,BP,0.09,NA,NA
NN,0.09,W,0.09,0,0
NN,0.1,BP,0.1,0,0
NN,0.1,W,0.1,0,0
NN,0.11,BP,0.11,0,0
NN,0.11,W,0.11,0,0
NN,0.12,BP,0.12,0,0
NN,0.12,W,0.12,0,0
NN,0.13,BP,0.13,0,0
NN,0.13,W,0.13,0,0
NN,0.14,BP,0.14,0,0
NN,0.14,W,0.14,0,0
NN,0.15,W,0.15,0,0
NN,0.16,BP,0.16,0,0
NN,0.16,W,0.16,0,0
NN,0.17,BP,0.17,NA,NA
NN,0.17,W,0.17,0,0
NN,0.18,BP,0.18,0,0
NN,0.18,W,0.18,0,0
NN,0.19,BP,0.19,0,0
NN,0.19,W,0.19,0,0
NN,0.2,W,0.2,0,0
NN,0.21,BP,0.21,NA,NA
NN,0.21,W,0.21,0,0
NN,0.22,W,0.22,0,0
NN,0.23,BP,0.23,0,0
NN,0.23,W,0.23,0,0
NN,0.24,BP,0.24,NA,NA
NN,0.24,W,0.24,0,0
NN,0.25,BP,0.25,0,0
NN,0.25,W,0.25,0,0
NN,0.26,BP,0.26,0,0
NN,0.26,W,0.26,0,0
NN,0.27,BP,0.27,0,0
NN,0.27,W,0.27,0,0
NN,0.28,BP,0.28,NA,NA
NN,0.28,W,0.28,0,0
NN,0.29,BP,0.29,0,0
NN,0.29,W,0.29,0,0
NN,0.3,W,0.3,0,0
NN,0.32,BP,0.32,0,0
NN,0.33,W,0.33,NA,NA
NN,0.34,W,0.34,NA,NA
NN,0.35,W,0.35,0,0
NN,0.36,BP,0.36,0,0
NN,0.36,W,0.36,NA,NA
NN,0.37,BP,0.37,0,0
NN,0.38,BP,0.38,NA,NA
NN,0.39,BP,0.39,0,0
NN,0.41,BP,0.41,0,0
NN,0.42,BP,0.42,NA,NA
NN,0.42,W,0.42,0,0
NN,0.44,BP,0.44,NA,NA
NN,0.44,W,0.44,NA,NA
NN,0.45,BP,0.45,NA,NA
NN,0.45,W,0.45,NA,NA
NN,0.46,BP,0.46,NA,NA
NN,0.46,W,0.46,NA,NA
NN,0.47,BP,0.47,NA,NA
NN,0.48,BP,0.48,NA,NA
NN,0.49,BP,0.49,NA,NA
NN,0.5,BP,0.5,NA,NA
NN,0.51,BP,0.51,0,0
NN,0.52,BP,0.52,NA,NA
NN,0.57,W,0.57,NA,NA
NN,0.62,BP,0.62,NA,NA
NN,0.63,BP,0.63,NA,NA
NN,0.64,BP,0.64,NA,NA
NN,0.65,BP,0.65,NA,NA
